video_path,start_time,end_time,label,orientation
3_output_3.mp4,35,36,涂油扫码,right
3_output_3.mp4,36,37,涂油扫码,right
3_output_3.mp4,40,41,打螺丝,left
3_output_3.mp4,41,42,打螺丝,left
3_output_3.mp4,42,43,打螺丝,left
3_output_3.mp4,43,44,打螺丝,left
3_output_3.mp4,44,45,打螺丝,left
3_output_3.mp4,45,46,打螺丝,left
3_output_3.mp4,46,47,打螺丝,left
3_output_3.mp4,47,48,打螺丝,left
3_output_3.mp4,52,53,插wifi线,left
3_output_3.mp4,53,54,插wifi线,left
3_output_3.mp4,54,55,插wifi线,left
3_output_3.mp4,55,56,插wifi线,left
3_output_3.mp4,56,57,插wifi线,left
3_output_3.mp4,57,58,插wifi线,left
3_output_3.mp4,58,59,插wifi线,left
3_output_3.mp4,59,60,插wifi线,left
3_output_3.mp4,60,61,插wifi线,left
3_output_3.mp4,61,62,插wifi线,left
3_output_3.mp4,62,63,插wifi线,left
3_output_3.mp4,63,64,插wifi线,left
3_output_3.mp4,64,65,插wifi线,left
3_output_3.mp4,65,66,插wifi线,left
3_output_3.mp4,66,67,插wifi线,left
3_output_3.mp4,67,68,插wifi线,left
3_output_3.mp4,68,69,插wifi线,left
3_output_3.mp4,69,70,插wifi线,left
3_output_3.mp4,71,72,打点1,left
3_output_3.mp4,72,73,打点1,left
3_output_3.mp4,73,74,打点1,left
3_output_3.mp4,74,75,打点1,left
3_output_3.mp4,87,88,打点2,left
3_output_3.mp4,95,96,结束扫码3,left
3_output_3.mp4,96,97,结束扫码3,left
3_output_4.mp4,1,2,整理排线,left
3_output_4.mp4,2,3,整理排线,left
3_output_4.mp4,3,4,整理排线,left
3_output_4.mp4,4,5,整理排线,left
3_output_4.mp4,5,6,整理排线,left
3_output_4.mp4,6,7,整理排线,left
3_output_4.mp4,7,8,整理排线,left
3_output_4.mp4,9,10,取屏蔽罩,left
3_output_4.mp4,19,20,取主机板,left
3_output_4.mp4,20,21,取主机板,left
3_output_4.mp4,22,23,放屏蔽罩,right
3_output_4.mp4,30,31,放主机板,right
3_output_4.mp4,31,32,放主机板,right
3_output_4.mp4,33,34,涂油扫码,right
3_output_4.mp4,34,35,涂油扫码,right
3_output_4.mp4,38,39,打螺丝,left
3_output_4.mp4,39,40,打螺丝,left
3_output_4.mp4,40,41,打螺丝,left
3_output_4.mp4,41,42,打螺丝,left
3_output_4.mp4,42,43,打螺丝,left
3_output_4.mp4,43,44,打螺丝,left
3_output_4.mp4,44,45,打螺丝,left
3_output_4.mp4,45,46,打螺丝,left
3_output_4.mp4,58,59,插wifi线,left
3_output_4.mp4,59,60,插wifi线,left
3_output_4.mp4,60,61,插wifi线,left
3_output_4.mp4,61,62,插wifi线,left
3_output_4.mp4,62,63,插wifi线,left
3_output_4.mp4,63,64,插wifi线,left
3_output_4.mp4,64,65,插wifi线,left
3_output_4.mp4,65,66,插wifi线,left
3_output_4.mp4,66,67,插wifi线,left
3_output_4.mp4,67,68,插wifi线,left
3_output_4.mp4,68,69,插wifi线,left
3_output_4.mp4,69,70,插wifi线,left
3_output_4.mp4,70,71,插wifi线,left
3_output_4.mp4,71,72,插wifi线,left
3_output_4.mp4,72,73,插wifi线,left
3_output_4.mp4,73,74,插wifi线,left
3_output_4.mp4,76,77,打点1,left
3_output_4.mp4,77,78,打点1,left
3_output_4.mp4,78,79,打点1,left
3_output_4.mp4,79,80,打点1,left
3_output_4.mp4,82,83,打点2,left
3_output_4.mp4,92,93,结束扫码3,left
3_output_4.mp4,93,94,结束扫码3,left
3_output_4.mp4,94,95,结束扫码3,left
